Code,Full_Title,Short_Title,Credits,Level,Aim,Department,Indicative_Content,Learning_Outcomes,Assessment_Criteria
R00841,Biopharmaceutical Analysis and Cell Culture,Biopharma. & Cell Culture,11,Postgraduate,"This module will provide students with an in-depth knowledge and skills in biopharmaceutical production, analysis and cell culture-related topics. Students will be exposed to a set of technologies that provide state-of--the-art tools for genomics, proteomics, metabolomics, drug discovery, screening and the analysis of biomolecules, such as DNA, proteins and small metabolites (biopharmaceuticals). In addition, the module will also introduce different chromatographic and spectroscopic techniques to analyse biopharmaceuticals, as well as other methods ranging from traditional immunoassays to state-of-the-art developments in bioarrays and nano-technology. The practical aspects of the module will cover biopharmaceutical analysis techniques and essential cell culture skills. The course will also train the student to critically evaluate approaches for method development in biopharmaceutical analysis and cell culture, and to critically appraise scientific literature and identity future trends in the area of biopharmaceutical analysis. In summary, the module will furnish the students with a competency required to undertake mammalian cell culture projects, and the ability to select the best techniques needed to analyse different biopharmaceuticals.",Science,"Biopharmaceutical products: biologics; immunotherapies; vaccines; stem-cell therapeutics; gene therapies; biosimilars; biosuperiors
Core concepts in molecular biology and recombinant protein production: gene requirements; transfection and cloning; prokaryotic and eukaryotic cell culture systems
Optimisation of biopharmaceutical product and bioprocessing; upstream and downstream bioprocessing; screening and selection of cells; cell line engineering; metabolic engineering; post-translational modifications
Case studies of recent biopharmaceutical products & emerging technologies/topics in biopharmaceutical production (transgenics, cell line engineering, designer peptides etc.)
Ethics and public concern over biopharmaceutical production from genetically modified organisms
Introduction to mammalian cell culture; history, perspectives and biology of cultured cells
Sources of mammalian cells & types available; selection of appropriate media, supplements and growth conditions for different cell lines; bioreactors
Importance of sterility, good culture practice (aseptic techniques), clean room and environmental control; sources of biocontamination and detection and elimination; disposal of cells and health & safety in cell culture lab
Generation and maintenance of cell banks; maintenance and sub-culturing of cell lines; cell counting and viability checks
Proteomics in biopharmaceutical analysis and quality control: protein/peptide and post-translational modification analysis using spectroscopic, chromatographic, electrophoretic and other analytical techniques e.g. capillary electrophoresis, SDS-PAGE, Western blot, advanced mass spectroscopy, ion chromatography and nuclear magnetic resonance spectroscopy
Bioassays and immunoassays in biopharmaceutical analysis and quality control: cell-based assays, immunoassays, flow cytometry, cytometric bead arrays, binding assays and surface plasmon resonance
Genomics in biopharmaceutical analysis and quality control: DNA sequencing, micro-array analysis and real-time PCR","Evaluate the principles of biopharmaceutical analysis and cell culture.
Evaluate the different techniques (traditional and modern) used in biopharmaceutical analysis and cell culture.
Design suitable practical techniques for biopharmaceutical analysis from troubleshooting to successful experimental outcomes.
Determine the appropriate medium and growing conditions for different mammalian cells and manage routine maintenance and troubleshooting of the cells.
Appraise approaches for method developments and future trends in the area of biopharmaceutical analysis and cell culture through scientific literature.
Comment on current and emerging biopharmaceutical products, trials and topics such as ethics and public concern.","<40%: Little or no demonstration of an understanding of the fundamentals of biopharmaceutical analysis and cell culture.
40%-59%: Ability to show limited understanding of the fundamentals of biopharmaceutical analysis and cell culture. May have some difficulty with applying the theory. Will display some ability with associated demonstrations as well as basic critical thinking and problem-solving skills.
60%-69%: As well as the above, ability to show reasonable understanding of the complexities of biopharmaceutical analysis and cell culture, and predict some trends in analytical results. Will display reasonable competence with associated laboratory demonstrations as well as good critical thinking and problem-solving skills.
70%-100%: All the above to an excellent level. In addition, will be able to demonstrate comprehensive knowledge and understanding of biopharmaceutical analysis and cell culture-related issues. Should also have the ability to critically evaluate and relate topics in cell culture with biopharmaceutical production and analysis."
A00901,Certificate in Introduction to Dairy Science,Introduction to Dairy Science,10,Introductory,"This module will provide students with an understanding of the modern dairy enterprise, including factors influencing milk quality and yield. Students will learn the fundamentals of dairy production, processing and quality management. This will equip students with the knowledge of the principles and technologies used in dairy processing. In addition, students will be exposed to aspects of working in an environment which operates under strict guidelines for production and quality output. This module is aimed at students who wish to work in the dairy industry.",Science,"Herd health, feeding & management, breeding replacements
Farm hygiene, milking & collection
Economics of dairy production
Raw milk intake, storage and antibiotic testing, off-loading issues
Milk processing operations: separation, evaporation, homogenization, pasteurisation, concentration, spraying and bagging
Chemistry of fat, production of milk products such as butter, yogurt, cheese and milk powders
Technology of microbial starter cultures and rennet
Types of whey proteins, whey, skim, whole and enriched milk powders
Recovery and extraction of milk components, nutritive value and interaction with minerals
Powder functionality and testing
Quality improvement through quality control, quality assurance, TQM and in-process testing
Quality auditing: types of audits, non-conformance and corrective actions
Food hazards: microbiological, chemical and physical
GMP as pre-requisite to HACCP and CIP, origin of HACCP and basic principles of HACCP system
Waste management hierarchy, waste as a resource and appropriate legislation","Describe the origins of milk, the impact of source on the overall quality of the end product produced, and the issues/challenges facing farmers in milk production.
Explain the core milk processing stages, including the pasteurisation process, and recognise the role of non-dairy ingredients in dairy manufacturing.
Recognise milk constituents, and illustrate an understanding of the range of milk products using milk or a derivative of milk.
Outline the role and function of quality control, quality assurance, quality auditing and in-process testing in dairy processing.
Discuss the significance of GMP as a pre-requisite to HACCP in the food industry, and discuss the origins of HACCP and its basis as a Food Safety Management System.
Identify food and environmental pathogens associated with the dairy industry and the importance of hygiene and cleaning in place.
Describe where effluent comes from, what it consists of and how it should be treated/disposed of, with both relevant legislation and also company profitability in mind.","<40%: Little or no demonstration of an understanding of the fundamentals of dairy science. Unable to carry out practical skills in laboratory.
40%-49%: Ability to show limited understanding of the fundamentals of dairy science. May have some difficulty with critical thinking and problem solving. Has a basic level of competency in the required laboratory skills.
50%-59%: All of the above including a good understanding of theoretical concepts and demonstration of good practical skills.
60%-69%: Show a high level of competence and efficiency in theoretical and practical skills.
70%-100%: All the above to an excellent level. In addition, will be able to demonstrate comprehensive knowledge and understanding of dairy science and an ability to critically evaluate and relate topics."
A00914,Statistics and Data Analysis,Statistics and Data Analysis,10,Postgraduate,The module aims to develop the learner's competence in the application of modern techniques of data analysis in the context of analytical method development. The learner will be enabled to apply statistical analysis processes to data sets and interpret the results in order to quantify data quality and compare data sets. These data sets will deal with real world applications from the pharmaceutical and food industries. The learner will also develop competence in a range of process control tools and minimisation strategies. Continuous improvement and data-driven decisions will also be emphasised throughout the course of the programme.,Science,"Descriptive statistics: graphical methods of display, measures of centre and spread
Precision and error measurement: relative and fixed bias, random errors, propagation of errors and accuracy, comparing and combining standard deviations and means of data sets, limit of detection
Sampling distributions: point estimation, sampling from continuous and discrete distributions
Statistical inference: inference for single, two or more samples
Analysis of data through case studies in `real world' applications in the pharmaceutical and food industries
Statistical process control: multivariate statistical process control, process monitoring and control strategies, process capability indices in statistics, Shewhart control charts, CUSUM charts, moving average and moving range charts
Sampling plans and the statistical analysis of the quality of batches","Assess analytical data using appropriate descriptive statistics tests.
Assess data sets based on applied inter-comparison significance tests.
Assess analytical data using statistical software packages.
Assemble and integrate process capability indices as a statistical measure of process capability.
Justify the usefulness of Shewhart control charts, CUSUM charts and other control charts to control a process.
Evaluate sampling plans and statistical analysis of quality in product batches.","<40%: The learner will demonstrate little or no understanding of the fundamentals of the learning outcomes. Will display a lack of competence with regards to associated data analysis skills and statistics.
40%-59%: The learner will demonstrate limited understanding of the fundamentals of the learning outcomes. Will display some ability with regards to associated data analysis skills and statistics.
60%-69%: As well as the above, the learner will demonstrate reasonable understanding of the fundamentals of the learning outcomes. Will display reasonable competence with regards to associated data analysis skills and statistics.
70%-100%: All of the above to excellent levels. In addition, the learner will demonstrate comprehensive knowledge and understanding of all learning outcomes. Will display advanced competence and independence with regards to associated data analysis skills and statistics."
A00941,Food Safety and Analytical Microbiology,Food Safety & Analytical Micro,10,Postgraduate,"This module will provide the student with an advanced understanding of the theory, practices and implementation issues associated with food industry safety management, while incorporating a comprehensive overview of the theoretical background, methodologies and practical skills in modern methods used in the analysis of foods for microbial contaminants. The learner will be exposed to aspects of working in an environment which operates under strict guidelines for production and quality outputs. The aims of the module are to produce graduates with an in-depth knowledge of food industry safety management, along with modern methods for the microbiological analysis of foods and food production premises. The student will acquire the tools and skills in modern methods and the technology associated with the analysis of foods and production facilities for microbial contaminants. The module will also enable students to critically appraise the scientific literature, and identify future trends in the areas of food safety and analytical microbiology.",Science,"Food premises and equipment design
Clean-room technology; controlled cleaning and structural, procedural and personal hygiene
Quality control of food ingredients
H.A.C.C.P.: methodology, documentation, integration and other quality systems (G.M.P., Q-mark, I.S.O. system, T,Q,M., World class manufacturing)
Food legislation and regulation and organisations involved in food safety (FSAI, WHO, Codex Alimentarius)
Food safety auditing: theory and practice, the audit process, integrated safety auditing, traceability and complaint management
Methods for isolation and growth of bacteria and fungi from foods and pharmaceuticals
Selective enrichment and isolation techniques: chromogenic media & immunomagnetic beads
Facilitated cultural techniques (Petrifilm, Easygel, Kwikcount and Microtrap)
Pyrogen detection and endotoxic assays
Traditional methods of identification of microorganisms: phenotypic methods including microscopy and biochemical tests
Rapid and/or computer-assisted kit systems for identification (immunological methods, API, Biolog etc.)
Modern molecular methods for identifying microorganisms: 16S PCR and DNA sequencing, PFGE, AFLP, RFLP, real-time PCR
Sterilisation methods, sterility testing and monitoring and disinfectant testing; methods for evaluating disinfectants
Microbiological tests for hygiene testing of production facilities, including ATP and lux-based bioluminescence technology and modern rapid swab techniques","Evaluate the inter-related processes that contribute to food safety management.
Assess the role and function of quality through production and processing of food, including the origins of HACCP and its basis as a Food Safety Management System.
Propose suitable techniques for the selective isolation and identification of pathogens and indicator organisms from a wide variety of products using current methodologies and technologies.
Evaluate the underlying principles behind molecular biology techniques employed in isolation and identification of microbes.
Appraise sterility testing of products and monitoring of sterile production facilities, and recommend appropriate methods for routine hygiene assessment in the food industry.","<40%: Little or no demonstration of an understanding of the fundamentals of analytical microbiology or the basic concepts of food safety management.
40%-59%: Ability to show limited understanding of the fundamentals of analytical microbiology. Will display some ability with associated demonstrations. Ability to understand the food safety management philosophies but unable to critically think on this subject.
60%-69%: Ability to show reasonable understanding of the complexities of analytical microbiology and predict some trends in analytical results. Will display reasonable competence with associated laboratory demonstrations. Good critical thinking and problem-solving skills in both analytical microbiology and food safety management. Good teamwork abilities.
70%-100%: All the above to an excellent level. In addition, will be able to demonstrate comprehensive knowledge and understanding of the area, have an ability to critically evaluate and relate topics, and formulate food safety management strategies."
A01001,Lab Skills for Plant Micropropagation,Lab Skills for Plant Micro,10,Intermediate,"The module has been designed to enhance the education of science students who will benefit from knowledge of plant culturing techniques, or for students who might require knowledge of establishment and maintenance of environments suitable for sterile culturing of plant, animal or bacterial cultures. Horticultural plant science requires innovation and this module will provide students with the basic requirements to pursue lab-based project work, and eventually level 9 study in plant science.",Science,"Maintaining sterile conditions: practice the principles of maintaining sterile environments and using lab equipment and glassware correctly to maintain sterility and prevent cross contamination
Commonly used lab calculations: dilutions, molar concentration, commonly used units and measurements and converting between these units
Lab solutions: preparing and sterilizing nutrient media and other common lab solutions such as phytohormone stock solutions and reagent doses. Budgeting in the lab
Measuring plant productivity/stress using parameters such as: stomatal frequency, proline content, photosynthetic pigment concentrations and extent of mycorrhizal inoculation
Lab equipment: calibrate and use of a pH meter and a conductivity meter, and the safe use of centrifuges and autoclaves
Plant/cyanobacterial cell cultures: components of nutrient media. Establishment and continuous culture of plant callus and liquid cultures. Evaluating the growth rate and viability of cultured plant cells
Micropropagation of plant clones: propagation of whole plants from sterile ex-plant material
Cell death in plants: types of cell death in plants including programmed cell death and necrosis and the role of cell death in the plant hypersensitive response. Methods of inducing cell death in plants for scientific study, and enumerating two different types of cell death using staining techniques","Demonstrate the techniques used to maintain aseptic conditions in a plant lab.
Prepare sterile nutrient media and complete an on-going sub-culturing regime for liquid plant and cyanobacterial cell cultures, plant callus and ex-plants.
Use and troubleshoot a range of commonplace lab equipment.
Calculate the weight of reagents needed to establish solutions of known concentrations and demonstrate proficiency in converting between the units commonly used in the plant science laboratory.
Experiment scientifically, interpret the data obtained, appraise observations, and plan further experimentation.
Investigate concepts/protocols used in laboratory plant science and evaluate their use.","<40%: Very limited knowledge and understanding of the subject matter. Lacking in technical ability/skill and understanding to work effectively in a plant laboratory.
40%-49%: Demonstrate a limited knowledge of the subject matter. Show some technical ability/skill in carrying out and reporting on practical tasks.
50%-59%: Demonstrates satisfactory general knowledge of the main issues within the subject. Student can logically and competently carry out practical tasks.
60%-69%: Demonstrates sound knowledge of the subject matter. Practicals and reports completed to high standard.
70%-100%: Demonstrates excellent technical ability, awareness, and aptitude for working with cultured plant cells. Delivers insightful scientific writing. Develops high competency in practical areas.
In addition to the normal regulations, a minimum of 35% must be achieved in both the theory and practical components of the module. In cases where continuous assessment has a practical component attendance of at least 75% in the practicals is mandatory."
A01002,Plants and Society,Plants and Society,5,Intermediate,"This module examines the importance of plants in modern society and tackles some of the increasingly complex issues that surround the biotechnology of plants. It is necessary for science students to understand these issues and to practice defending their informed opinions, the protocols used and also the plant science research that takes place during the development of new biotechnologies. Society increasingly looks to science graduates to bridge the gap in their understanding of novel biotechnology and this module will help science students to develop skills in evaluating news sources and debating, and ultimately, will produce graduates who will inform society and foster trust in the scientific process. This elective is offered to any science student in WIT who seeks to develop their knowledge of plant biotechnology, the importance of plants in society, and who wants to learn how to generate convincing arguments.",Science,"Climate Change: The role of plants in carbon sequestration and carbon release. Early earth environments. Climate change through the eons Plant fossils. Global average temperatures. The greenhouse effect.
Evolution: Fundamentals of evolution and speciation. Cladistics and the tree of life. Evidence for Evolution. Evolution controversies. Antibiotic use in plant propagation and evolution in the context of antibiotic resistance
Food security: Fundamentals of GM technology. Terminator technology. Land use change. Rising populations. Intergovernmental policies regarding food security
Science communication: Distinguishing between reliable sources of information. Responsible use of social media, blogs and message boards. Using evidence based reasoning to participate in constructive and informative arguments
Nature deficit disorder: Specifically, the reasoning behind why society may not appreciate plant life
Popular Science: Evaluating the quality of popular science and methods of incorporating popular science in life-long learning.","Explore reliable scientific information from a variety of print and online resources.
Appraise popular science publications from a variety of print and online resources.
Investigate the on-going environmental impacts of fertiliser, antibiotic and GM plant use.
Analyse the process of inquiry and the assimilation of knowledge.
Establish how plants have contributed to and can be used to mitigate global climate change.
Research and discuss an appropriate topic.
Produce a researched and informative presentation on a given topic.
Express opinions logically and persuasively in group discussions.","<40%: Very limited knowledge and understanding of the subject matter. Lacking in research ability/skill and understanding to carry out practical tasks. Unwilling to participate in group discussions.
40%-49%: Demonstrates a limited knowledge of the subject matter. Show some research ability/skill when presenting evidence-based arguments.
50%-59%: Demonstrates satisfactory general knowledge of the main issues discussed. Logically and competently carries out research tasks and presents evidence adequately.
60%-69%: Demonstrates sound knowledge of the subject matter. Presentations and reports completed to high standard. Participates adequately in class discussions.
70%-100%: Demonstrates excellent research ability and awareness of the complexities of modern-day plant science and demonstrates an aptitude for delivering convincing arguments using evidences based reasoning. Regularly directs discussions and encourages peer discussion."
A01062,International Regulatory Affairs,Intl. Regulatory Affairs,10,Postgraduate,"This module will provide the student with an advanced understanding of the procedures involved in the regulation of pharmaceutical products and medical devices in the European Union, US and other markets. The structure and role of US, European and other regulatory authorities will be studied. Harmonisation of standards in the pharmaceutical industry and the various licensing routes for drug products in the EU will also be objectives of the module. The learner will be exposed to the interface between regulatory affairs and operations. Pharmacovigilance and the pharmaceutical inspection convention will also be emphasised throughout the course of the module.",Science,"Introduction to pharmaceutical legislation: structure and role of the US, European and other regulatory authorities
Licensing of Drug Products, legal basis for an application; licensing routes in EU-centralised, decentralised, Mutual Recognition following decentralised procedure and national applications
Applications to US FDA
Introduction to procedures in emerging markets: use of Certificates of Pharmaceutical Products (CPP)
Structure of the common technical document: full and abridged applications
Strategy for managing marketing authorisations, variations, parallel procedures, renewals and line extensions
Harmonisation of standards in the Pharmaceutical Industry ICH Guidelines
European Directorate for the quality of medicines (EDQM): structure and functions (TSE) certificates; Ph.Eur.; counterfeit medicines
Falsified Medicines Directive
Pharmacovigilance Monitoring Drug Safety Pharmacovigilance system master file (PSMF) Periodic Safety Update Report; risk benefit evaluation
Interface between regulatory affairs and operations (Compliance files Quality agreements) GxP GLP, GMP. GDP, GCP","Evaluate legislation and regulations governing the pharmaceutical and medical device industry to ensure compliance with regulatory requirements.
Compile regulatory documentation in a format for submission to authorities in EU/US/Japan (Common Technical Document) applications and maintenance.
Develop a strategy for submission and maintenance of marketing authorisations.
Interpret the roles of the various regulatory agencies including EDQM, EMA and National Competent authorities, and assess the various licencing routes in the EU.
Design a pharmacovigilance system in compliance with the regulations.
Assess the regulations and specific commitments to agencies to ensure compliance between regulatory affairs and operations.","<40%: No understanding of the basic concepts of regulatory affairs. Unable to apply the knowledge given to an industrial environment.
40%-59%: Adequate consideration of the concepts of advanced regulatory affairs. Sufficient attempt at application of theory to practice.
60%-69%: Show evidence of underpinning knowledge of subject area. Some evidence of evaluation and synthesis of subject area and ability to incorporate new regulatory affairs in industrial setting.
70%-100%: Excellent level of critical analysis, originality of thought and comprehensive knowledge of the subject area. Able to evaluate and synthesise relevant issues."
A01763,Environmental Science,Environmental Science,5,Introductory,"This module will give students a broad introduction to the major elements of environmental science, from habitats to the hydrological cycle, to global air pollution issues. A series of laboratory-based experiments plus field trips will be used to reinforce the theory elements of this module.",Science,"Ecology: biodiversity, ecosystems, habitats, niche; species interactions, competition, predation, parasitism, mutualism; succession, climax community; energy flow, food chains & webs
Water: hydrological cycle; origins of pollution; properties of pollutants; effects of pollution; pollution control, including wastewater and water treatment; EU Water Frameworks Directive
Air: natural and polluted atmospheres; meteorological factors affecting air pollution; global air pollution issues, i.e. acid deposition, global warming, ozone depletion, air pollution and health effects
Nutrient cycles, specifically nitrogen and carbon
Field trips: field trips to river & woodland ecosystems including measurement of biotic index of water quality
Laboratory practicals: physico-chemical analysis of water, i.e. hardness, BOD, nitrate and phosphate in water; microbiological analysis of water","Describe the various parameters important in ecosystems.
Explain the main topics associated with water in our environment such as the hydrological cycle, pollution & treatment.
Outline significant air pollution components and explain their significance in terms of acidity, global warming and ozone depletion.
Summarise the importance of nitrogen and carbon cycling.
Identify the major ecological and physico chemical parameters necessary to access environmental quality.
Classify environments based on laboratory and field investigations.
Discuss how pollutants are produced and monitored in the environment.","<40%: No understanding of the basic principles of environmental science.
40%-49%: Is able to understand the principles of environmental science. May have some difficulty with applying this theory.
50%-59%: All the above in addition to evaluation of practical data to assess environmental quality.
60%-69%: In addition to the above plus show a high level of competence and efficiency in the subject area.
70%-100%: All previous to excellent level. Be able to describe and discuss environmental science.
In addition to the normal regulations, a minimum of 35% must be achieved in both the final exam and continuous assessment components of the module. In cases where continuous assessment has a practical component attendance of at least 75% in the practicals is mandatory."
A01766,Food Analysis,Food Analysis,5,Introductory,"Food analysis is an essential part of the agri-food industry, and encompasses the determination of nutritional value, compliance with labelling/legal requirements, assessment of product quality and detection of adulteration. The aim of this module is to introduce the student to the basic principles of analytical techniques commonly used to determine the chemical composition of foods. The module will provide the student with both theoretical and practical knowledge of techniques for the determination of macro- and micronutrients within foods. This module will equip students to work in food analysis across a broad range of agri-food industries in Ireland.",Science,"Quantitative analysis of foods for moisture, lipids, proteins, carbohydrates, vitamins and minerals
Theory and practise of traditional wet chemistry techniques for food analysis
Principles and application of spectrophotometric methods, including UV-visible, fluorescence and atomic absorption
Principles and application of chromatographic methods in analysis, e.g. HPLC, GC","Identify the compositional components of a variety of food products.
Discuss the principles of and procedures for standard methodologies in food analysis.
Compare different analytical methods used within the food industry.
Employ a range of food analytical techniques for a variety of food types.
Report on a range of food analytical techniques for a variety of food types.","<40%: Little or no demonstration of an understanding of the fundamentals of the learning outcomes. Lack of competence with regards to use of associated laboratory skills, techniques and instrumentation.
40%-49%: Demonstrate understanding of the fundamentals of the learning outcomes. Will display some ability with regard to the use of associated laboratory skills, techniques and instrumentation.
50%-59%: Demonstrate satisfactory understanding of the fundamentals of the learning outcomes. Will display reasonable competence with regards to use of associated laboratory techniques instrumentation and good laboratory practice.
60%-69%: Demonstrate sound knowledge of the all topics contained in the learning outcomes and display good competence with regards to use of associated laboratory instrumentation and very good laboratory practice.
70%-100%: Demonstrate comprehensive knowledge and understanding of all learning outcomes. Will display advanced competence and independence with regards to use of associated laboratory techniques and instrumentation and excellent laboratory practice.
In addition to the normal regulations, a minimum of 35% must be achieved in both the final exam and continuous assessment components of the module. In cases where continuous assessment has a practical component attendance of at least 75% in the practicals is mandatory."
A01781,Introduction to ICT for Scientists,Intro to ICT for Scientists,5,Introductory,"This module will provide the student with a general introduction to the fundamentals of PC-based computing from a scientific perspective. The student will gain a competency in the Microsoft Windows operating environment, as well as a proficiency in file and data management. An introduction to the basic principles of word processing, spreadsheets and presentations will be given. This will involve the manipulation of specific examples of a scientific nature, including laboratory results and data. Report writing and presentation skills will be acquired, such that the student can competently compile scientific data into a format acceptable for reports and presentations.",Science,"Introduction to basic PC hardware components; introduction to Moodle; e-mail for attaching/extracting files and e-mail etiquette; managing your online identity
Familiarity with the MS Windows environment, particularly the use of Windows Explorer for the management of data files and folders
Introduction to the use of MS Word for word processing & familiarity will basic formatting techniques
Use of MS Word to format a document to a scientific report standard; generation of tables of scientific data
Use of MS Equation Editor to construct mathematical equations
Introduction to the use of MS PowerPoint to give presentations on a scientific topic
Use of MS Excel to perform basic scientific calculations; use of Chart Wizard to graph simple functions
Formatting of graphs & tables in MS Excel for incorporation into reports","Identify PC components and gain a competency in basic computer housekeeping skills.
Apply MS Word and PowerPoint to compile and present scientific data in a clear and comprehensible manner, to a standard acceptable for scientific reports and presentations.
Apply Ms Excel to manipulate and graphically display trends in laboratory data.
Use Ms Excel to interpret data from scientific experiments.","<40%: Little or no understanding of the basic file management or applications of ICT to scientific analysis. Little or no demonstration of word processing, spreadsheet & presentation skills.
40%-49%: Adequate file management skills & fair understanding of the basic applications of ICT to scientific analysis. Demonstration of rudimentary word processing, spreadsheet & presentation skills.
50%-59%: As well as the above, will demonstrate good file management skills & a good understanding of some of the applications of ICT to scientific analysis. Will possess good word processing, spreadsheet & presentation skills.
60%-69%: In addition, will demonstrate very good file management skills & understanding of the applications of ICT to scientific analysis. Will possess very good word processing, spreadsheet & presentation skills.
70%-100%: All the above to an excellent level, in addition to a superior standard of word processing, spreadsheet & presentation skills."
